,address1,address2,address3,address,long,lat
0,2322 MARONEAL ST,HOUSTON,77030,"2322 MARONEAL ST, HOUSTON, TX 77030",-95.41252800000001,29.703484
1,4 BRAESWOOD CT,HOUSTON,77030,"4 BRAESWOOD CT, HOUSTON, TX 77030",-95.41273179999999,29.6989108
2,2340 BLUE BONNET BLVD,HOUSTON,77030,"2340 BLUE BONNET BLVD, HOUSTON, TX 77030",-95.41369329999999,29.7010147
3,2355 KELVING ST,HOUSTON,77030,"2355 KELVING ST, HOUSTON, TX 77030",-95.4134682,29.702039
4,2343 UNDERWOOD ST,HOUSTON,77030,"2343 UNDERWOOD ST, HOUSTON, TX 77030",-95.4139592,29.6994924
5,2240 SWIFT BLVD,HOUSTON,77030,"2240 SWIFT BLVD, HOUSTON, TX 77030",-95.411668,29.71285
6,2115 GLEN HAVEN BLVD,HOUSTON,77030,"2115 GLEN HAVEN BLVD, HOUSTON, TX 77030",-95.4089678,29.7025834
7,2108 GLEN HAVEN BLVD,HOUSTON,77030,"2108 GLEN HAVEN BLVD, HOUSTON, TX 77030",-95.4085382,29.7031198
8,2169 UNIVERSITY BLVD,HOUSTON,77030,"2169 UNIVERSITY BLVD, HOUSTON, TX 77030",-95.40913139999999,29.7139459
9,2102 GOLDSMITH ST,HOUSTON,77030,"2102 GOLDSMITH ST, HOUSTON, TX 77030",-95.4077404,29.7104837
10,2342 MARONEAL ST,HOUSTON,77030,"2342 MARONEAL ST, HOUSTON, TX 77030",-95.4134887,29.7029179
11,2050 SOUTHGATE BLVD,HOUSTON,77030,"2050 SOUTHGATE BLVD, HOUSTON, TX 77030",-95.4064109,29.709613
12,2330 N BRAESWOOD BLVD,HOUSTON,77030,"2330 N BRAESWOOD BLVD, HOUSTON, TX 77030",-95.41365239999999,29.6985799
13,2171 UNIVERSITY BLVD,HOUSTON,77030,"2171 UNIVERSITY BLVD, HOUSTON, TX 77030",-95.4093589,29.7140955
